Champion,Ability Type,Ability Name,Description
Shyvana,,Dragon's Descent,Shyvana transforms into a dragon and takes flight to a target location. Enemies along her path take damage and are knocked toward her target location.<br><br>Shyvana passively gains Fury per second and gains 2 Fury on basic attack.
Yuumi,Passive,Feline Friendship,"Periodically, when Yuumi strikes a champion with an attack or ability, she restores health to herself and the next ally she Attaches to.<br><br>While Attached, Yuumi generates a special bond with her allies. The ally with the strongest bond enhances Yuumi's abilities while she is Attached to them."
Yuumi,Q,Prowling Projectile,"Yuumi fires a missile, dealing damage and slowing first target hit. It deals bonus damage and an enchanced slow if it takes at least 1.35 seconds to get to its target. While on her Best Friend, the slow is always enhanced and grants bonus On-Hit damage to her ally.<br><br>While Attached, the missile can be controlled with your cursor for a brief period."
Yuumi,W,You and Me!,"Yuumi dashes to a target ally, becoming untargetable from everything except turrets. While on her Best Friend, she gains Heal & Shield Power and grants her Ally On-Hit healing."
Yuumi,E,Zoomies,"Shields Yuumi and boosts Move Speed and Attack Speed. If she's attached, she passes it to her ally instead.<br>"
Yuumi,Ultimate,Final Chapter,"Yuumi channels five waves that damage enemies and heal allies. Yuumi can move, attach, and cast Zoomies! while channeling. While on her Best Friend, this spell also follows her mouse."
KogMaw,Passive,Icathian Surprise,"4 seconds after dying, Kogmaw explodes, dealing true damage to surrounding enemies."
KogMaw,Q,Caustic Spittle,Kog'Maw launches a corrosive projectile which deals magic damage and corrodes the target's armor and magic resist for a short time. Kog'Maw also gains additional attack speed.
KogMaw,,Bio-Arcane Barrage,Kog'Maw's attacks gain range and deal a percent of the target's maximum health as magic damage.
KogMaw,,Void Ooze,Kog'Maw launches a peculiar ooze which damages all enemies it passes through and leaves a trail which slows enemies who stand on it.
KogMaw,,Living Artillery,"Kog'Maw fires an artillery shell at a great distance dealing magic damage (increased significantly on low health enemies) and revealing non-stealthed targets. Additionally, multiple Living Artilleries in a short period of time cause them to cost additional Mana."
Velkoz,Passive,Organic Deconstruction,"Vel'Koz's abilities apply <keywordName>Organic Deconstruction</keywordName> to enemies on hit. If 3 stacks are accumulated, the enemy will take a burst of true damage."
Velkoz,Q,Plasma Fission,Vel'Koz shoots a bolt of plasma that splits in two on reactivation or upon hitting an enemy. The bolt slows and damages on hit.
Velkoz,W,Void Rift,"Vel'Koz opens a rift to the void that deals an initial burst of damage, then explodes for a second burst of damage after a delay."
Velkoz,E,Tectonic Disruption,"Vel'Koz causes an area to explode, knocking up enemies, and knocking close enemies slightly away."
Velkoz,Ultimate,Life Form Disintegration Ray,Vel'Koz unleashes a channelled beam that follows the cursor for 2.5 seconds that deals magic damage. Organic Deconstruction Researches enemy champions causing them to take true damage instead.
Ekko,Passive,Z-Drive Resonance,"Every third attack or damaging spell on the same target deals bonus magic damage, and grants Ekko a burst of speed if the target is a champion.<br><br>"
Ekko,Q,Timewinder,"Ekko throws a temporal grenade that expands into a time-distortion field upon hitting an enemy champion, slowing and damaging anyone caught inside. After a delay, the grenade rewinds back to Ekko, dealing damage on its return."
Ekko,W,Parallel Convergence,"Ekko's basic attacks deal bonus magic damage to low health enemies. He can cast Parallel Convergence to split the timeline, creating an anomaly after a few seconds that slows enemies caught inside. If Ekko enters the anomaly, he gains shielding and stuns enemies by suspending them in time."
Ekko,E,Phase Dive,"Ekko rolls evasively while charging up his Z-Drive. His next attack deals bonus damage and warps reality, teleporting him to his target."
Ekko,Ultimate,Chronobreak,"Ekko shatters his timeline, becoming untargetable and rewinding to a more favorable point in time. He returns to whenever he was a few seconds ago, and heals for a percentage of the damage received in that duration. Enemies near his arrival zone take massive damage."
KSante,Passive,Dauntless Instinct,"K'Sante's Abilities mark targets to take more damage on his next Attack.<br><br>When All Out, K'Sante deals more damage with all Attacks and Abilities."
KSante,Q,Ntofo Strikes,"K'Sante strikes, damaging and slowing enemies in a short line.<br><br>On hit, grants a stack of Ntofo Strikes. At 2 stacks, K'Sante fires a shockwave that pulls enemies in.<br><br>When All Out, cooldown is reduced."
KSante,W,Path Maker,"K'Sante charges up, taking reduced damage, then dashes, knocking back and stunning enemies.<br><br>When All Out, deals increased damage and no longer knocks back or stuns."
KSante,E,Footwork,"K'Sante dashes and gains a shield. If targeting an ally, K'Sante dashes to the ally with increased range and both gain a shield.<br><br>When All Out, cooldown is reduced and speed is increased."
KSante,Ultimate,All Out,"K'Sante knocks an enemy back, launching them through any wall in their path. Then, K'Sante goes All Out and dashes after them, gaining increased damage, healing, and transformed abilities at the cost of reduced defenses."
Hecarim,Passive,Warpath,Hecarim gains Attack Damage equal to a percentage of his bonus Move Speed.
Hecarim,,Rampage,"Hecarim cleaves nearby enemies dealing physical damage. If Hecarim damages at least one enemy, he increases the damage and lowers the cooldown of subsequent Rampages."
Hecarim,W,Spirit of Dread,"Hecarim gains Armor and Magic Resist. Hecarim deals magic damage to nearby enemies, and gains Health equal to a percentage of any damage those enemies suffer."
Hecarim,,Devastating Charge,Hecarim gains increasing Move Speed and can move through units for a short duration. His next attack knocks the target back and deals additional physical damage based on the distance he has traveled since activating the ability.
Hecarim,,Onslaught of Shadows,"Hecarim summons spectral riders and charges forward, dealing magic damage in a line. Hecarim creates a shockwave when he finishes his charge, causing nearby enemies to flee in terror."
Malphite,Passive,Granite Shield,"Malphite is shielded by a layer of rock which absorbs damage up to 10% of his maximum Health. If Malphite has not been hit for a few seconds, this effect recharges."
Malphite,,Seismic Shard,"Malphite sends a shard of the earth through the ground at his foe, dealing damage upon impact and stealing Move Speed for 3 seconds."
Malphite,,Thunderclap,"Malphite attacks with such force that it creates a sonic boom. For the next few seconds, his attacks create aftershocks in front of him."
Malphite,,Ground Slam,"Malphite slams the ground, sending out a shockwave that deals magic damage based on his Armor and reduces the Attack Speed of enemies for a short duration."
Malphite,,Unstoppable Force,"Malphite launches himself to a location at high speed, damaging enemies and knocking them into the air."
Kalista,Passive,Martial Poise,Enter a movement command while winding up Kalista's basic attack or Pierce to lunge a short distance when she launches her attack.
Kalista,,Pierce,Throw a fast moving spear that passes through enemies it kills.
Kalista,W,Sentinel,"Gain bonus damage when Kalista and her Oathsworn strike the same target. <br><br>Activate to send a soul to scout out the path, revealing the area in front of it."
Kalista,,Rend,"Attacks impale their targets with spears. Activate to rip the spears out, slowing and dealing escalating damage."
Kalista,,Fate's Call,"Kalista teleports the Oathsworn ally to herself. They gain the ability to dash toward a position, knocking enemy champions back."
Zac,Passive,Cell Division,"Each time Zac hits an enemy with an ability, he sheds a chunk of himself that can be reabsorbed to restore Health. Upon taking fatal damage, Zac splits into 4 bloblets that attempt to recombine. If any bloblets remain, he will revive with an amount of Health depending on the Health of the surviving bloblets. Each bloblet has a percentage of Zac's maximum Health, Armor and Magic Resistance. This ability has a 5 minute cooldown."
Zac,Q,Stretching Strikes,"Zac stretches an arm, grabbing an enemy. Attacking a different enemy will cause him to throw both targets towards each other."
Zac,W,Unstable Matter,"Zac explodes outward towards nearby enemies, dealing a percentage of their maximum health as magic damage."
Zac,E,Elastic Slingshot,"Zac attaches his arms to the ground and stretches back, launching himself forward."
Zac,Ultimate,Let's Bounce!,"Zac bounces four times, knocking up enemies hit and slowing them."
Nocturne,Passive,Umbra Blades,"Every few seconds, Nocturne's next attack strikes surrounding enemies for bonus physical damage and heals himself. <br><br>Nocturne's basic attacks reduce this cooldown."
Nocturne,,Duskbringer,"Nocturne throws a shadow blade that deals damage, leaves a Dusk Trail, and causes champions to leave a Dusk Trail. While on the trail, Nocturne can move through units and has increased Move Speed and Attack Damage."
Nocturne,,Shroud of Darkness,"Nocturne empowers his blades, passively gaining Attack Speed. Activating Shroud of Darkness allows Nocturne to fade into the shadows, creating a magical barrier which blocks a single enemy ability and doubles his passive Attack Speed if successful."
Nocturne,,Unspeakable Horror,"Nocturne plants a nightmare into his target's mind, dealing damage each second and applying fear to the target if they do not get out of range by the end of the duration."
Nocturne,,Paranoia,Nocturne reduces the sight radius of all enemy champions and removes their ally vision in the process. He can then launch himself at a nearby enemy champion.
Janna,Passive,Tailwind,Janna's allies gain Move Speed moving towards her.<br><br>Janna deals a portion of bonus Move Speed as bonus magic damage on hit and with Zephyr.
Janna,,Howling Gale,"By creating a localized change in pressure and temperature, Janna is able to create a small storm that grows in size with time. She can activate the spell again to release the storm. On release this storm will fly towards the direction it was cast in, dealing damage and knocking away any enemies in its path."
Janna,,Zephyr,Janna summons an air elemental that passively increases her Move Speed and enables her to pass through units. She may also activate this ability to deal damage and slow an enemy's Move Speed.
Janna,,Eye Of The Storm,Janna conjures a defensive gale that shields an ally champion or turret from incoming damage and increases their Attack Damage.
Janna,,Monsoon,"Janna surrounds herself in a magical storm, throwing enemies back. After the storm has settled, soothing winds heal nearby allies while the ability is active."
Darius,Passive,Hemorrhage,"Darius' attacks and damaging abilities cause enemies to bleed for physical damage over 5 seconds, stacking up to 5 times. Darius enrages and gains massive Attack Damage when his target reaches max stacks."
Darius,,Decimate,Darius winds up and swings his axe in a wide circle. Enemies struck by the blade take more damage than those struck by the handle. Darius heals based on enemy champions and large monsters hit by the blade.
Darius,,Crippling Strike,"Darius's next attack strikes an enemy's crucial artery. As they bleed out, their Move Speed is slowed."
Darius,,Apprehend,"Darius hones his axe, passively causing his physical damage to ignore a percentage of his target's Armor. When activated, Darius sweeps up his enemies with his axe's hook and pulls them to him."
Darius,,Noxian Guillotine,"Darius leaps to an enemy champion and strikes a lethal blow, dealing true damage. This damage is increased for each stack of Hemorrhage on the target. If Noxian Guillotine is a killing blow, its cooldown is refreshed for a brief duration."
Vladimir,Passive,Crimson Pact,Every 30 points of bonus Health gives Vladimir 1 Ability Power and every 1 point of Ability Power gives Vladimir 1.6 bonus Health (does not stack with itself).
Vladimir,Q,Transfusion,"Vladimir steals life from the target enemy. When Vladimir's resource is full, Transfusion will benefit from massively increased damage and healing for a brief time."
Vladimir,,Sanguine Pool,"Vladimir sinks into a pool of blood, becoming untargetable for 2 seconds. Additionally, enemies on the pool are slowed and Vladimir siphons life from them."
Vladimir,E,Tides of Blood,"Vladimir pays his own health to charge up a reservoir of blood which, when released, deals damage in the area around him but can be blocked by enemy units."
Vladimir,,Hemoplague,"Vladimir infects an area with a virulent plague. Affected enemies take increased damage for the duration. After a few seconds, Hemoplague deals magic damage to infected enemies and heals Vladimir for each enemy Champion hit."
Pyke,Passive,Gift of the Drowned Ones,"When Pyke is hidden from enemies, he regenerates damage that he has recently taken from champions. Pyke also cannot gain extra Maximum Health from any source, and instead gains Bonus AD."
Pyke,Q,Bone Skewer,Pyke either stabs an enemy in front of him or pulls an enemy towards him.
Pyke,W,Ghostwater Dive,Pyke enters Camouflage and gains significant Move Speed that decays over time.
Pyke,E,Phantom Undertow,"Pyke dashes and leaves behind a phantom that will return to him, stunning enemy champions along its path."
Pyke,Ultimate,Death From Below,"Pyke blinks to and executes low health enemies, allowing him to cast this spell again and granting additional gold to an ally who assists."
Brand,Passive,Blaze,"Brand's spells light his targets ablaze, dealing damage over 4 seconds, stacking up to 3 times. If Brand kills an enemy while it is ablaze he regains mana. When Blaze reaches max stacks on a Champion or large monster, it becomes unstable. It detonates in 2 seconds, applying spell effects and dealing massive damage in an area around the victim."
Brand,Q,Sear,"Brand launches a ball of fire forward that deals magic damage. If the target is ablaze, Sear will stun the target."
Brand,W,Pillar of Flame,"After a short delay, Brand creates a Pillar of Flame at a target area, dealing magic damage to enemy units within the area. Units that are ablaze take an additional 25% damage."
Brand,E,Conflagration,"Brand conjures a powerful blast at his target that spreads to nearby enemies, dealing magic damage. If the target is ablaze, Conflagration's spread is doubled."
Brand,Ultimate,Pyroclasm,"Brand unleashes a devastating torrent of fire that bounces up to 5 times off of Brand and nearby enemies, dealing magic damage to enemies each time bounce. Bounces prioritize stacking Blaze to max on Champions. If a target is ablaze, Pyroclasm will briefly slow them."
Urgot,Passive,Echoing Flames,"Urgot's basic attacks and Purge periodically trigger blasts of flame from his legs, dealing physical damage."
Urgot,Q,Corrosive Charge,"Fires an explosive charge at the target location, dealing physical damage and slowing enemies caught in the explosion."
Urgot,W,Purge,Urgot slows himself while he unloads his weapon on nearby enemies. Prioritizes enemy champions Urgot has recently struck with other abilities and triggers Echoing Flames.
Urgot,E,Disdain,"Urgot charges in a direction, shielding himself and trampling non-champion enemies. If he catches an enemy champion, he will stop and hurl them out of his way."
Urgot,Ultimate,Fear Beyond Death,"Urgot fires a chem-drill that impales the first enemy champion hit. If that champion falls below a health threshold, Urgot judges them weak and can execute them."
Ahri,Passive,Essence Theft,"After killing 9 minions or monsters, Ahri heals.<br>After taking down an enemy champion, Ahri heals for a greater amount."
Ahri,Q,Orb of Deception,"Ahri sends out and pulls back her orb, dealing magic damage on the way out and true damage on the way back. "
Ahri,W,Fox-Fire,"Ahri gains a brief burst of Move Speed and releases three fox-fires, that lock onto and attack nearby enemies."
Ahri,E,Charm,"Ahri blows a kiss that damages and charms an enemy it encounters, instantly stopping movement abilities and causing them to walk harmlessly towards her."
Ahri,Ultimate,Spirit Rush,"Ahri dashes forward and fires essence bolts, damaging nearby enemies. Spirit Rush can be cast up to three times before going on cooldown, and gains additional recasts when taking down enemy champions."
Skarner,Passive,Threads of Vibration,"Skarner's Attacks, Shattered Earth, Upheaval, and Impale, apply Quaking. At max stacks of Quaking, enemies take max Health magic damage over its duration."
Skarner,Q,Shattered Earth / Upheaval,Skarner rips a boulder from the earth that empowers his attacks and can be thrown as a powerful projectile.
Skarner,W,Seismic Bastion,Skarner gains a shield and creates an earthquake whose shockwave damages and slows foes.
Skarner,E,Ixtal's Impact,"Skarner charges forward and passes through terrain. If he collides with a champion or large monster, he'll slam them into the next wall he hits to damage and stun them."
Skarner,Ultimate,Impale,"Skarner's tails lash forward to suppress enemy champions. Once suppressed, the victims will be dragged along by Skarner as he moves around."
Leblanc,Passive,Mirror Image,"When LeBlanc drops below 40% Health, she becomes invisible for 1 second and creates a Mirror Image that deals no damage and lasts for up to 8 seconds."
Leblanc,Q,Sigil of Malice,"LeBlanc projects a sigil, dealing damage and marking the target for 3.5 seconds. Damaging the marked target with an ability detonates the sigil, dealing additional damage. If either part kills the target, Leblanc refunds the Mana cost and part of this spell's remaining Cooldown."
Leblanc,W,Distortion,"LeBlanc dashes to a location, dealing damage to enemies near her destination. For the next 4 seconds, activate Distortion again to return LeBlanc to her starting location."
Leblanc,E,Ethereal Chains,"LeBlanc launches a chain that shackles the first enemy hit. If the target remains shackled for 1.5 seconds, LeBlanc roots them and deals additional damage."
Leblanc,Ultimate,Mimic,LeBlanc casts a mimicked version of one of her basic spells.
Jinx,Passive,Get Excited!,"Jinx receives massively increased Move Speed and Attack Speed whenever she helps kill or destroy an enemy champions epic jungle monster, or structure."
Jinx,Q,Switcheroo!,"Jinx modifies her basic attacks by swapping between Pow-Pow, her minigun and Fishbones, her rocket launcher. Attacks with Pow-Pow grant Attack Speed, while attacks with Fishbones deal area of effect damage, gain increased range, but drain Mana and attack slower."
Jinx,W,Zap!,"Jinx uses Zapper, her shock pistol, to fire a blast that deals damage to the first enemy hit, slowing and revealing it."
Jinx,E,Flame Chompers!,"Jinx throws out a line of snare grenades that explode after 5 seconds, lighting enemies on fire. Flame Chompers will bite enemy champions who walk over them, rooting them in place."
Jinx,Ultimate,Super Mega Death Rocket!,"Jinx fires a super rocket across the map that gains damage as it travels. The rocket will explode upon colliding with an enemy champion, dealing damage to it and surrounding enemies based on their missing Health."
Leona,Passive,Sunlight,"Damaging spells afflict enemies with Sunlight for 1.5 seconds. When allied Champions deal damage to those targets, they consume the Sunlight to deal additional magic damage."
Leona,,Shield of Daybreak,"Leona uses her shield to perform her next basic attack, dealing bonus magic damage and stunning the target."
Leona,,Eclipse,"Leona raises her shield to gain Damage Reduction, Armor, and Magic Resist. When the duration first ends, if there are nearby enemies, she will deal magic damage to them and prolong the duration of the effect."
Leona,,Zenith Blade,"Leona projects a solar image of her sword, dealing magic damage to all enemies in a line. When the image fades, the last enemy champion struck will be briefly immobilized and Leona will dash to them."
Leona,,Solar Flare,"Leona calls down a beam of solar energy, dealing damage to enemies in an area. Enemies in the center of the area are stunned, while enemies on the outside are slowed."
Swain,Passive,Ravenous Flock,Swain's ravens collect <i>Soul Fragments</i> that heal him and permanently increase his maximum health.
Swain,Q,Death's Hand,Swain unleashes several bolts of eldritch power that pierce through enemies. Enemies hit take more damage for each bolt they are struck by.
Swain,W,Vision of Empire,Swain opens a demon eye that deals damage and slows enemies. Champions hit are revealed and also grant Swain a Soul Fragment.
Swain,E,Nevermove,Swain launches a wave of demonic power forward. It then returns to Swain and roots enemies it hits. Swain can then choose to pull all rooted champions closer. This ability has a shorter cooldown during Demonic Ascension.
Swain,Ultimate,Demonic Ascension,"Swain transforms into a demon and drains health from nearby enemy champions, minions, and neutral monsters. Swain can cast Demonflare to decimate and slow nearby enemies with a nova of soulfire. This form is indefinite as long as Swain drains enemy champions."
Shen,Passive,Ki Barrier,"After casting a spell, Shen gets a shield. Affecting other champions reduces the cooldown of this effect."
Shen,Q,Twilight Assault,"Shen recalls his spirit blade to attack with it, dealing damage based on the target's max health. The attacks are greatly empowered if it collides with an enemy champion, and all collided enemies are slowed while running away from Shen."
Shen,W,Spirit's Refuge,Attacks that would hit Shen or his allies near his spirit blade are blocked.
Shen,E,Shadow Dash,"Shen dashes in a direction, taunting enemies in his path."
Shen,Ultimate,Stand United,"Shen shields target allied champion from incoming damage, and soon after teleports to their location."
Trundle,Passive,King's Tribute,"When an enemy unit dies near Trundle, he heals for a percent of its maximum Health."
Trundle,,Chomp,"Trundle bites his opponent, dealing damage, briefly slowing and sapping some of their Attack Damage."
Trundle,,Frozen Domain,"Trundle turns target location into his domain, gaining Attack Speed, Move Speed, and increased healing from all sources while on it."
Trundle,,Pillar of Ice,"Trundle creates an ice pillar at target location, becoming impassable terrain and slowing all nearby enemy units."
Trundle,,Subjugate,"Trundle immediately steals a percent of his target's Health, Armor and Magic Resistance. Over the next 4 seconds the amount of Health, Armor, and Magic Resistance stolen is doubled."
Zeri,Passive,Living Battery,Zeri's Attacks deal magic damage and are treated as Abilities. Moving and casting Burst Fire stores up energy in Zeri's Sparkpack. When fully charged her next Attack deals bonus damage.
Zeri,Q,Burst Fire,Burst Fire shoots a burst of 7 rounds that deal attack damage to the first enemy hit. This Ability is treated as an Attack.
Zeri,W,Ultrashock Laser,Zeri fires an electric pulse that slows and damages the first enemy hit. If the pulse hits a wall it expands into a long range laser.
Zeri,E,Spark Surge,"Zeri dashes a short distance and energizes her next 3 shots of Burst Fire, causing them to pierce through enemies. She will vault and grind over any terrain she touches."
Zeri,Ultimate,Lightning Crash,"Zeri discharges a nova of electricity and overcharges herself, gaining increased damage and stacking Move Speed that refreshes and gets stronger every time she hits an enemy champion. While overcharged, Burst fire becomes a faster triple shot that chains lightning between enemies."
Karma,Passive,Gathering Fire,Karma's damaging abilities will reduce the cooldown of Mantra.
Karma,Q,Inner Flame,"Karma sends forth a ball of spirit energy that explodes and deals damage upon hitting an enemy unit.<br><br>Mantra Bonus: In addition to the explosion, Mantra increases the destructive power of her Inner Flame, creating a cataclysm which deals damage after a short delay."
Karma,,Focused Resolve,"Karma creates a tether between herself and a targeted enemy, dealing damage and revealing them. If the tether is not broken, the enemy will be rooted and damaged again.<br><br>Mantra Bonus: Karma strengthens the link, healing herself and extending the root duration."
Karma,,Inspire,"Karma summons a protective shield that absorbs incoming damage and increases the Move Speed of the protected ally.<br><br>Mantra Bonus: Energy radiates out from her target, strengthening the initial shield and applying Inspire to nearby allied champions."
Karma,,Mantra,Karma empowers her next ability to do an additional effect. Mantra is available at level 1 and does not require a skill point.
Camille,Passive,Adaptive Defenses,Basic attacks on champions grant a shield equal to a percentage of Camille's maximum health against their damage type (Physical or Magic) for a brief duration.
Camille,Q,Precision Protocol,"Camille's next attack deals bonus damage and grants bonus Move Speed. This spell can be recast for a short period of time, doing significantly increased bonus damage if Camille delays a period of time between the two attacks."
Camille,W,Tactical Sweep,"Camille blasts in a cone after a delay, dealing damage. Enemies in the outer half are slowed and take extra damage, while also healing Camille."
Camille,E,Hookshot,"Camille pulls herself to a wall, leaping off and knocking up enemy champions upon landing."
Camille,Ultimate,The Hextech Ultimatum,"Camille dashes to target champion, anchoring them to the area. She also deals bonus magic damage to the target with her basic attacks."
Soraka,Passive,Salvation,Soraka runs faster towards nearby low health allies.
Soraka,Q,Starcall,"A star falls from the sky at the target location dealing magic damage and slowing enemies. If an enemy champion is hit by Starcall, Soraka recovers Health."
Soraka,W,Astral Infusion,Soraka sacrifices a portion of her own health to heal another friendly champion.
Soraka,E,Equinox,"Creates a zone at a location that silences all enemies inside. When the zone expires, all enemies still inside are rooted."
Soraka,Ultimate,Wish,"Soraka fills her allies with hope, instantly restoring health to herself and all allied champions."
Lucian,Passive,Lightslinger,"Whenever Lucian uses an ability, his next attack becomes a double-shot. When Lucian is healed or shielded by an ally, or when a nearby enemy Champion is immobilized, his next 2 basic attacks will deal bonus magic damage."
Lucian,Q,Piercing Light,Lucian shoots a bolt of piercing light through a target.
Lucian,W,Ardent Blaze,"Lucian shoots a missile that explodes in a star shape, marking and briefly revealing enemies. Lucian gains Move Speed for attacking marked enemies."
Lucian,E,Relentless Pursuit,Lucian quickly dashes a short distance. Lightslinger attacks reduce Relentless Pursuit's cooldown.
Lucian,Ultimate,The Culling,Lucian unleashes a torrent of shots from his weapons.
Amumu,Passive,Cursed Touch,"Amumu's basic attacks <font color='#9b0f5f'>Curse</font> his enemies, causing them to take bonus true damage from incoming magic damage."
Amumu,,Bandage Toss,"Amumu tosses a sticky bandage at a target, stunning and damaging the target while he pulls himself to them."
Amumu,,Despair,"Overcome by anguish, nearby enemies lose a percentage of their maximum Health each second and have their <font color='#9b0f5f'>Curses</font> refreshed."
Amumu,,Tantrum,"Permanently reduces the physical damage Amumu would take. Amumu can unleash his rage, dealing damage to surrounding enemies. Each time Amumu is hit, the cooldown on Tantrum is reduced."
Amumu,,Curse of the Sad Mummy,"Amumu entangles surrounding enemy units in bandages, applying his <keywordMajor>Curse</keywordMajor>, damaging and stunning them."
Kayle,Passive,Divine Ascent,"Kayle's attacks are empowered by the heavens as she levels up and spends skill points. Her wings are lit aflame as she progressively gains Attack Speed, Move Speed, Attack Range, and waves of fire on her attacks."
Kayle,Q,Radiant Blast,"Kayle conjures a portal, summoning a celestial sword that pierces through enemies, slowing, damaging, and reducing the resistances of all hit."
Kayle,W,Celestial Blessing,"Blessed by the divine, Kayle heals and grants Move Speed to herself and the nearest ally."
Kayle,E,Starfire Spellblade,"Passive: Kayle's celestial sword, Virtue, deals bonus magic damage to enemies she attacks.<br><br>Active: Kayle's next attack smites her target with celestial fire, dealing bonus damage proportionate to their missing health."
Kayle,Ultimate,Divine Judgment,Kayle makes an ally invulnerable and calls upon former Aspects of Justice to purify the area around her target with a holy rain of swords.
